region,23日(日),24日(月),25日(火),26日(水),27日(木),28日(金),29日(土),30日(日)
釧路,晴時々曇,曇,曇時々晴,曇,曇時々晴,曇時々晴,晴時々曇,曇時々晴
旭川,晴時々曇,曇時々雨,曇一時雨,曇,曇時々晴,曇時々晴,曇時々晴,曇
札幌,晴後曇,曇後時々雨,曇,曇,曇時々晴,曇時々晴,曇時々晴,曇
青森,晴,晴時々曇,晴時々曇,曇時々晴,晴時々曇,晴時々曇,晴時々曇,曇時々晴
秋田,晴,晴,晴時々曇,曇時々晴,晴時々曇,晴時々曇,晴時々曇,曇時々晴
仙台,晴時々曇,晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
新潟,晴後曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
金沢,晴後曇,晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
東京,晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,曇時々晴
宇都宮,晴後曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
長野,晴後曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
名古屋,晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,曇時々晴
大阪,晴時々曇,晴後時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
高松,晴時々曇,晴時々曇,晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
松江,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
広島,晴後曇,曇時々晴,曇時々晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
高知,曇時々晴,曇時々晴,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,曇時々晴
福岡,曇時々晴,晴後曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇,晴時々曇
鹿児島,晴時々曇,晴時々曇,晴時々曇,曇時々晴,晴時々曇,晴時々曇,晴時々曇,曇時々晴
奄美,曇,曇後晴,曇時々晴,曇,曇,曇時々晴,曇時々晴,曇時々晴
那覇,晴時々曇,曇時々晴,曇時々晴,曇一時雨,曇一時雨,曇,曇時々晴,曇時々晴
石垣,晴,曇時々晴,曇一時雨,曇時々雨,曇時々雨,曇一時雨,曇,曇時々晴
